Publication Name,Publication Handle,Publication Profile Image,Publication Web URL,Publication Country,Publication Primary Colour,Publication Secondary Colour
Peoples Gazette,gazettengr,https://pbs.twimg.com/profile_images/1345678399289831425/rWnxeytx_normal.jpg,www.gazettengr.com,NG,#000100,#ffffff
POLITICO,politico,https://pbs.twimg.com/profile_images/677177503694237697/y6yTzWn6_normal.png,www.politico.com,US,#ce181e,#ffffff
Breitbart News,breitbartnews,https://pbs.twimg.com/profile_images/949270171755077632/dw3M-58z_normal.jpg,www.breitbart.com,US,#fffeff,#000000
VentureBeat,VentureBeat,https://pbs.twimg.com/profile_images/1268192121477046272/oxLhAY5V_normal.jpg,www.venturebeat.com,US,#111111,#ffffff
Startup Wonders,startup_wonders,https://pbs.twimg.com/profile_images/1130915051198488576/0Rs7l1aJ_normal.png,www.startupwonders.com,IN,#701036,#ffffff
CTV News,ctvnews,https://pbs.twimg.com/profile_images/1113055141761073153/9gjeEtmz_normal.png,www.ctvnews.ca,CA,#feffff,#000000
Forbes Tech,ForbesTech,https://pbs.twimg.com/profile_images/1125882177303011330/UiIzccX9_normal.png,www.forbes.com,US,#333333,#ffffff
Science News,ScienceNews,https://pbs.twimg.com/profile_images/1210648820541018113/j4qqEa6F_normal.png,www.sciencenews.org,US,#176cab,#ffffff
Indian Startup News,indstartupnews,https://pbs.twimg.com/profile_images/1203237100931301376/qgS5Zx7A_normal.jpg,www.indianstartupnews.com,IN,#fffeff,#000000
The Indian Express,indianexpress,https://pbs.twimg.com/profile_images/1064599601553047558/s09zzXz4_normal.jpg,www.indianexpress.com,IN,#fb191d,#ffffff
Crunchbase News,crunchbasenews,https://pbs.twimg.com/profile_images/1031675362978086912/THsidRFn_normal.jpg,www.news.crunchbase.com/,US,#336cc6,#ffffff
Fast Co. Impact,FastCoImpact,https://pbs.twimg.com/profile_images/1136299923949834241/3EWxFE5X_normal.png,www.fastcompany.com,US,#55c0af,#ffffff
Vanguard Newspapers,vanguardngrnews,https://pbs.twimg.com/profile_images/1311598472240431109/MAalocvx_normal.jpg,www.vanguardngr.com,NG,#9e0000,#ffffff
Financial Times,ft,https://pbs.twimg.com/profile_images/931156393108885504/EqEMtLhM_normal.jpg,www.ft.com,UK,#fdd0b1,#000000
GeekWire Startups,seattle20,https://pbs.twimg.com/profile_images/1848563892/Seattle2.0_gw_logo_normal.jpg,www.geekwire.com/startups,US,#fffeff,#000000
Movieweb,movieweb,https://pbs.twimg.com/profile_images/1140528405848326144/WIKMPdlg_normal.png,www.movieweb.com,US,#e40000,#ffffff
TechCrunch,TechCrunch,https://pbs.twimg.com/profile_images/1096066608034918401/m8wnTWsX_normal.png,www.techcrunch.com,US,#fefffe,#000000
Silicon Bayou News,SiliconBayou,https://pbs.twimg.com/profile_images/1661403600/SBNSquareGRN_small_normal.png,www.siliconbayounews.com,US,#00a651,#ffffff
BBC News Technology,bbctech,https://pbs.twimg.com/profile_images/1150686790967316481/lQA-Lcrj_normal.png,www.bbc.co.uk,UK,#b80000,#ffffff
Us Weekly,usweekly,https://pbs.twimg.com/profile_images/1146048143882145792/C35YNceu_normal.jpg,www.usmagazine.com,US,#fffdfe,#000000
Metro,MetroUK,https://pbs.twimg.com/profile_images/1327189249532325888/14Ur4loa_normal.jpg,www.metro.co.uk,US,#000000,#ffffff
Inc42,Inc42,https://pbs.twimg.com/profile_images/1027479034416877568/lTfYZwfF_normal.jpg,www.inc42.com,IN,#d82253,#ffffff
WIRED,WIRED,https://pbs.twimg.com/profile_images/1228050699348561920/YvWAQD2L_normal.jpg,www.wired.com,US,#000000,#ffffff
The Tech Startups,thetechstartups,https://pbs.twimg.com/profile_images/985621652980383744/GhcWYRhk_normal.jpg,www.techstartups.com,US,#fefefe,#000000
The Standard Digital,standardkenya,https://pbs.twimg.com/profile_images/1388098152390184961/PMf27hXW_normal.jpg,www.standardmedia.co.ke,KE,#fffdff,#000000
Mashable,mashable,https://pbs.twimg.com/profile_images/1145679135873933312/OF0s1_Pe_normal.png,www.mashable.com,US,#00adf0,#ffffff
The Bogota Post,bogotapost,https://pbs.twimg.com/profile_images/547600497348071424/DVMgcNWQ_normal.jpeg,www.thebogotapost.com,CO,#fffeff,#000000
Mental Floss,mental_floss,https://pbs.twimg.com/profile_images/857998780410548224/zfrtpr2E_normal.jpg,www.mentalfloss.com,US,#fffdff,#000000
The Verge,verge,https://pbs.twimg.com/profile_images/877903823133704194/Mqp1PXU8_normal.jpg,www.theverge.com,US,#000000,#ffffff
Nairametrics,Nairametrics,https://pbs.twimg.com/profile_images/1216314095428870145/QCJufoXP_normal.png,www.nairametrics.com,NG,#253b94,#ffffff
Startup News FYI,StartupNewsFyi,https://pbs.twimg.com/profile_images/1378367938055467008/COXiznsl_normal.jpg,www.startupnews.fyi,IN,#ed1664,#ffffff
STARTUP DAILY,StartupDailyANZ,https://pbs.twimg.com/profile_images/1013100562143801345/qvwrYuw4_normal.jpg,www.startupdaily.net,AU,#fffeff,#000000
Daily Mail U.K.,dailymailuk,https://pbs.twimg.com/profile_images/1194268356108541952/VUP4n4nK_normal.png,www.dailymail.co.uk,UK,#00a9d4,#ffffff
Harvard Business Review,HarvardBiz,https://pbs.twimg.com/profile_images/1249778961229516806/8v45jDln_normal.png,www.hbr.org,US,#040707,#ffffff
HollywoodLife,hollywoodlife,https://pbs.twimg.com/profile_images/966087021805690881/B842iRdT_normal.jpg,www.hollywoodlife.com,US,#ca0bb0,#ffffff
CNN,cnn,https://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_normal.jpg,www.cnn.com,US,#cd1316,#ffffff
Engadget,engadget,https://pbs.twimg.com/profile_images/655059892022022144/Pq3Q_1oU_normal.png,www.engadget.com,US,#000000,#ffffff
Disrupt Africa,DisruptAfrica,https://pbs.twimg.com/profile_images/527787642058846209/1O-O7PKF_normal.jpeg,www.disrupt-africa.com,KE,#000000,#ffffff
ET Industry News,ETIndustryNews,https://pbs.twimg.com/profile_images/1215267890003243009/v6pEs-kV_normal.jpg,www.economictimes.indiatimes.com/industry,IN,#404042,#ffffff
Toronto Star,torontostar,https://pbs.twimg.com/profile_images/797283628476669952/B1gH6xXm_normal.jpg,www.thestar.com,CA,#0065a5,#ffffff
Business Insider,BusinessInsider,https://pbs.twimg.com/profile_images/1199017286780231684/P_hQmsjg_normal.jpg,www.businessinsider.com,US,#fdfdfd,#000000
ComingSoon.net,comingsoonnet,https://pbs.twimg.com/profile_images/534824847767900161/tGYQQgUB_normal.jpeg,www.comingsoon.net,US,#000100,#ffffff
CBS News,cbsnews,https://pbs.twimg.com/profile_images/1374394535883673604/4VIECtDH_normal.jpg,www.cbsnews.com,US,#fffffd,#000000
TechTrendsKE©,TechTrendsKE,https://pbs.twimg.com/profile_images/980751088096858117/acnZrY0U_normal.jpg,www.techtrendske.co.ke,KE,#feffff,#000000
ReadWrite,RWW,https://pbs.twimg.com/profile_images/806200860837449728/hBIS-Ct-_normal.jpg,www.readwrite.com,US,#fffeff,#000000
MarketWatch,marketwatch,https://pbs.twimg.com/profile_images/705601245596090368/Z6xUOnRg_normal.jpg,www.marketwatch.com,US,#333230,#ffffff
Entrepreneur,Entrepreneur,https://pbs.twimg.com/profile_images/474753665970868224/GcoCzmcI_normal.jpeg,www.entrepreneur.com,US,#282a29,#ffffff
TechFruit,techfruit,https://pbs.twimg.com/profile_images/807020681888043008/e9wbukgL_normal.jpg,www.techfruit.com,UK,#fffeff,#000000
No Camels ,NoCamels,https://pbs.twimg.com/profile_images/1252892168940933120/YN6RhmqO_normal.jpg,www.nocamels.com,IL,#fffeff,#000000
TechRound,TechRoundUK,https://pbs.twimg.com/profile_images/1113808938993111041/lu6Y5jVi_normal.png,www.techround.co.uk,UK,#484848,#ffffff
TechDotLondon,techdotlondon,https://pbs.twimg.com/profile_images/610192882473906176/NJf4ko5y_normal.jpg,www.tech.london,UK,#fefefe,#000000
Soy Emprendedor,syemprende,https://pbs.twimg.com/profile_images/1022213038517248000/zPX0JlO5_normal.jpg,www.soyemprendedor.education,CO,#122b2f,#ffffff
WSJ Venture Capital,WSJVC,https://pbs.twimg.com/profile_images/952869652887166978/H01cjFOh_normal.jpg,www.wsj.com/pro/venture-capital,US,#1a2e35,#ffffff
Recode,Recode,https://pbs.twimg.com/profile_images/729365899828989952/o0AuZCNW_normal.jpg,www.vox.com/recode,US,#fefefe,#000000
BBC News (World),bbcworld,https://pbs.twimg.com/profile_images/1150717770478379008/8-XiwK-s_normal.png,www.bbc.co.uk/news/world,UK,#b90001,#ffffff
New York Post,nypost,https://pbs.twimg.com/profile_images/966372680306868224/60wfGe9e_normal.jpg,www.nypost.com,US,#cd0000,#ffffff
WRAL TechWire,WRALTechWire,https://pbs.twimg.com/profile_images/936341922553221120/uMLLYswj_normal.jpg,www.wraltechwire.com,US,#fffffd,#000000
LAFFAZ,LaffazMedia,https://pbs.twimg.com/profile_images/963135448796327939/VLfKzolI_normal.jpg,www.laffaz.com,IN,#fffeff,#000000
Øresund Startup News,OresundStartups,https://pbs.twimg.com/profile_images/859018406481338370/reXVX42B_normal.jpg,www.oresundstartups.com,SE,#fefefe,#000000
Austin Startups ✨,AustinStartups,https://pbs.twimg.com/profile_images/699020236306018304/pm6CPIGI_normal.png,www.austinstartups.com,US,#fefefe,#000000
TMZ,tmz,https://pbs.twimg.com/profile_images/948698715220410368/EkNILtvi_normal.jpg,www.tmz.com,US,#ce0000,#ffffff
CNET,CNET,https://pbs.twimg.com/profile_images/1272576526182039553/2wNFGvT1_normal.png,www.cnet.com,US,#dc0b03,#ffffff
150sec,150sec,https://pbs.twimg.com/profile_images/1166395106401947650/R5JYGx7s_normal.jpg,www.150sec.com,UK,#fffdff,#000000
Tech in Asia,techinasia,https://pbs.twimg.com/profile_images/905656014090903552/yDro07xm_normal.jpg,www.techinasia.com,HK,#c11720,#ffffff
CityNews Toronto,citynews,https://pbs.twimg.com/profile_images/1332376218189094915/KGFdOhcN_normal.jpg,www.toronto.citynews.ca,CA,#01395e,#ffffff
BBC News (UK),bbcnews,https://pbs.twimg.com/profile_images/1150718511129477120/2N_GW7HR_normal.png,www.bbc.co.uk/news,UK,#b90001,#ffffff
People,people,https://pbs.twimg.com/profile_images/703345483218067456/waTSntUG_normal.jpg,www.people.com,US,#28c4ff,#ffffff
NBC News,nbcnews,https://pbs.twimg.com/profile_images/1338497918387572736/DXHbTEJG_normal.jpg,www.nbcnews.com,US,#102039,#ffffff
Geektime en Español,geektimees,https://pbs.twimg.com/profile_images/950474632871776261/6orsZhSq_normal.jpg,www.geektime.es,ES,#010101,#ffffff
The Guardian,guardian,https://pbs.twimg.com/profile_images/1175141826870861825/K2qKoGla_normal.png,www.theguardian.com,UK,#1f2e60,#ffffff
BBC Health News,bbchealth,https://pbs.twimg.com/profile_images/1271451625094287361/cM8IJMad_normal.jpg,www.bbc.co.uk/news/health,UK,#bb0000,#ffffff
StartUp Beat,startupbeat1,https://pbs.twimg.com/profile_images/765597358264578048/_EBpk7ne_normal.jpg,www.startupbeat.com,US,#f79331,#ffffff
EU-Startups,EU_Startups,https://pbs.twimg.com/profile_images/1164156853317722112/-APax5nr_normal.jpg,www.eu-startups.com,UK,#fffdff,#000000
TOI Start-Up Israel,TOIStartup,https://pbs.twimg.com/profile_images/458541985641410560/L3SrRUbF_normal.png,www.timesofisrael.com/start-up-israel,IL,#e7e7e4,#000000
The Independent,Independent,https://pbs.twimg.com/profile_images/1148561910134202369/DRu4DQGV_normal.png,www.independent.co.uk,UK,#ec1a2e,#ffffff
Sky Sports Cricket,skycricket,https://pbs.twimg.com/profile_images/1346184641326309381/u_U_NGy6_normal.jpg,www.skysports.com/cricket,UK,#fffffd,#000000
ETtech,ETtech,https://pbs.twimg.com/profile_images/575894751460782080/Ev0bdIoX_normal.jpeg,www.tech.economictimes.indiatimes.com,IN,#242021,#ffffff
Sifted,Siftedeu,https://pbs.twimg.com/profile_images/1065965876678221829/KJ3RFt3s_normal.jpg,www.sifted.eu,UK,#dc085c,#ffffff
Tech Insider,TechInsider,https://pbs.twimg.com/profile_images/1197961125641494529/MVjp8tHL_normal.jpg,www.techinsider.io,US,#fffffd,#000000
TheCable,thecableng,https://pbs.twimg.com/profile_images/1256124838948802561/OLdFWylr_normal.jpg,www.thecable.ng/,NG,#7dc245,#ffffff
Sahara Reporters,saharareporters,https://pbs.twimg.com/profile_images/484178487360499712/LeRpr7xQ_normal.png,www.saharareporters.com,US,#25282a,#ffffff
National Post,nationalpost,https://pbs.twimg.com/profile_images/877014191273517056/mv9ErfX-_normal.jpg,www.nationalpost.com,CA,#ffca46,#ffffff
Startup News,StartupNewsAus,https://pbs.twimg.com/profile_images/1054545748325330944/Y9txqShy_normal.jpg,www.startupnews.com.au,AU,#fffeff,#000000
YourStory,YourStoryCo,https://pbs.twimg.com/profile_images/1387471994724130818/lHJ4-h9h_normal.jpg,www.yourstory.com,IN,#fffeff,#000000
Fox News,foxnews,https://pbs.twimg.com/profile_images/918480715158716419/4X8oCbge_normal.jpg,www.foxnews.com,US,#fbffff,#000000
TNW,thenextweb,https://pbs.twimg.com/profile_images/1306571874000830464/AZtkNMd-_normal.png,www.thenextweb.com,NE,#000000,#ffffff
Inc.,Inc,https://pbs.twimg.com/profile_images/794517026672967680/M4bp9e6f_normal.jpg,www.inc.com,US,#000000,#ffffff
9to5Mac.com,9to5mac,https://pbs.twimg.com/profile_images/659486593649012736/-TGFT8rs_normal.png,www.9to5mac.com,US,#c3d8e4,#000000
Fast Company,FastCompany,https://pbs.twimg.com/profile_images/1051826427837014017/v2TLU4mf_normal.jpg,www.fastcompany.com,US,#231f20,#ffffff
THISDAY LIVE,THISDAYLIVE,https://pbs.twimg.com/profile_images/2478953412/tze8i93mwynorieaezpq_normal.jpeg,www.thisdaylive.com,NG,#cd0000,#ffffff
The Sociable,thesociable,https://pbs.twimg.com/profile_images/641717989272895489/fJiQCOcd_normal.jpg,www.sociable.co,CO,#fffbff,#000000
Globalnews.ca,globalnews,https://pbs.twimg.com/profile_images/722490988120289280/iF92VumO_normal.jpg,www.globalnews.ca,CA,#1572b8,#ffffff
Gizmodo,Gizmodo,https://pbs.twimg.com/profile_images/590508740010348544/eS1F7mN5_normal.png,www.gizmodo.com,US,#9c9c9c,#ffffff
Sky Sports Premier League,skysportspl,https://pbs.twimg.com/profile_images/1346183994661089281/Gn39xnWT_normal.jpg,www.skysports.com/premier-league-news,UK,#feffff,#000000
FourFourTwo,fourfourtwo,https://pbs.twimg.com/profile_images/1388128234714419204/cyPt3yeq_normal.jpg,www.fourfourtwo.com,UK,#930000,#ffffff
Pulse Ghana,pulseghana,https://pbs.twimg.com/profile_images/998591058261901312/vgdmk9ls_normal.jpg,www.pulse.com.gh,GH,#fffeff,#000000
Graphic Online,Graphicgh,https://pbs.twimg.com/profile_images/954650712683802624/_uawKY5Y_400x400.jpg,www.graphic.com.gh,GH,#f8f8f8,#000000
Ghana Web,GhanaWeb,https://pbs.twimg.com/profile_images/1361369604531101697/vRU-IU48_400x400.jpg,www.ghanaweb.com/,GH,#a77f44,#ffffff